text,label,processed_text
9.Михаил Лермонтов - Парус,1,михаил лермонтов парус
"Белеет парус одинокой
В тумане моря голубом!..
Что ищет он в стране далекой?
Что кинул он в краю родном?..
Играют волны — ветер свищет,
И мачта гнется и скрыпит…
Увы! он счастия не ищет
И не от счастия бежит!
Под ним струя светлей лазури,
Над ним луч солнца золотой…
А он, мятежный, просит бури,
Как будто в бурях есть покой!",1,белеть парус одинокий туман море голубой искать страна далекий кинуть край родный играть волна ветер свистать мачта гнуться скрыпит увы счастие искать счастие бежать струя светлеть лазурь луч солнце золотой мятежный просить буря буря покой
"10.Михаил Лермонтов - Тучи 
Тучки небесные, вечные странники!
Степью лазурною, цепью жемчужною
Мчитесь вы, будто как я же, изгнанники
С милого севера в сторону южную.
Кто же вас гонит: судьбы ли решение?
Зависть ли тайная? злоба ль открытая?
Или на вас тяготит преступление?
Или друзей клевета ядовитая?
Нет, вам наскучили нивы бесплодные…
Чужды вам страсти и чужды страдания;
Вечно холодные, вечно свободные,
Нет у вас родины, нет вам изгнания.",1,михаил лермонтов туча тучка небесный вечный странник степью лазурный цепь жемчужный мчитесь изгнанники милый север сторона южный гнать судьба решение зависть тайный злоба открытый тяготить преступление друг клевета ядовитый наскучить нива бесплодный чуждый страсть чуждый страдание вечно холодный вечно свободный родина изгнание
"11.Сергей Есенин - Письмо к женщине
Вы помните,
Вы всё, конечно, помните,
Как я стоял,
Приблизившись к стене,
Взволнованно ходили вы по комнате
И что-то резкое
В лицо бросали мне.
Вы говорили:
Нам пора расстаться,
Что вас измучила
Моя шальная жизнь,
Что вам пора за дело приниматься,
А мой удел —
Катиться дальше, вниз.
Любимая!
Меня вы не любили.
Не знали вы, что в сонмище людском
Я был как лошадь, загнанная в мыле,
Пришпоренная смелым ездоком.
Не знали вы,
Что я в сплошном дыму,
В развороченном бурей быте
С того и мучаюсь, что не пойму —
Куда несет нас рок событий.
Лицом к лицу
Лица не увидать.
Большое видится на расстоянье.
Когда кипит морская гладь —
Корабль в плачевном состоянье.
Земля — корабль!
Но кто-то вдруг
За новой жизнью, новой славой
В прямую гущу бурь и вьюг
Ее направил величаво.
Ну кто ж из нас на палубе большой
Не падал, не блевал и не ругался?
Их мало, с опытной душой,
Кто крепким в качке оставался.
Тогда и я,
Под дикий шум,
Но зрело знающий работу,
Спустился в корабельный трюм,
Чтоб не смотреть людскую рвоту.
Тот трюм был —
Русским кабаком.
И я склонился над стаканом,
Чтоб, не страдая ни о ком,
Себя сгубить
В угаре пьяном.
Любимая!
Я мучил вас,
У вас была тоска
В глазах усталых:
Что я пред вами напоказ
Себя растрачивал в скандалах.
Но вы не знали,
Что в сплошном дыму,
В развороченном бурей быте
С того и мучаюсь,
Что не пойму,
Куда несет нас рок событий…
Теперь года прошли.
Я в возрасте ином.
И чувствую и мыслю по-иному.
И говорю за праздничным вином:
Хвала и слава рулевому!
Сегодня я
В ударе нежных чувств.
Я вспомнил вашу грустную усталость.
И вот теперь
Я сообщить вам мчусь,
Каков я был,
И что со мною сталось!
Любимая!
Сказать приятно мне:
Я избежал паденья с кручи.
Теперь в Советской стороне
Я самый яростный попутчик.
Я стал не тем,
Кем был тогда.
Не мучил бы я вас,
Как это было раньше.
За знамя вольности
И светлого труда
Готов идти хоть до Ла-Манша.
Простите мне…
Я знаю: вы не та —
Живете вы
С серьезным, умным мужем;
Что не нужна вам наша маета,
И сам я вам
Ни капельки не нужен.
Живите так,
Как вас ведет звезда,
Под кущей обновленной сени.
С приветствием,
Вас помнящий всегда
Знакомый ваш
Сергей Есенин.",1,сергей есенин письмо женщина помнить весь помнить стоять приблизиться стена взволнованно ходить комната резкий лицо бросать говорить пора расстаться измучить шальной жизнь пора дело приниматься удел катиться далекий вниз любимый любить знать сонмище людской лошадь загнать мыло пришпорить смелый ездок знать сплошной дым разворотить буря быт мучиться пойма нести рок событие лицо лицо лицо увидать большой видеться расстояние кипеть морской гладь корабль плачевный состоянье земля корабль новый жизнь новый слава прямой гуща буря вьюга направить величавый палуба большой падать блевать ругаться мало опытный душа крепкий качка оставаться дикий шум зрело знать работа спуститься корабельный трюм смотреть людской рвота трюм русский кабак склониться стакан страдать сгубить угар пьяный любимый мучить тоска глаз усталый пред напоказ растрачивал скандал знать сплошной дым разворотить буря быт мучиться пойма нести рок событие год пройти возраст иной чувствовать мыслить иной говорить праздничный вино хвала слава рулевой сегодня удар нежный чувство вспомнить ваш грустный усталость сообщить мчусь каков сталось любимый сказать приятный избежать падение круча советский сторона самый яростный попутчик стать мучить это ранний знамя вольность светлый труд готовый идти манша простить знать жить серьезный умный муж нужный наш маета капелька нужный живить вести звезда куща обновить сень приветствие помнить знакомый ваш сергей есенин
"12.Сергей Есенин - Что это такое?
В этот лес завороженный,
По пушинкам серебра,
Я с винтовкой заряженной
На охоту шел вчера.
По дорожке чистой, гладкой
Я прошел, не наследил…
Кто ж катался здесь украдкой?
Кто здесь падал и ходил?
Подойду, взгляну поближе:
Хрупкий снег изломан весь.
Здесь вот когти, дальше — лыжи…
Кто-то странный бегал здесь.
Кабы твердо знал я тайну
Заколдованным речам,
Я узнал бы хоть случайно,
Кто здесь бродит по ночам.
Из-за елки бы высокой
Подсмотрел я на кругу:
Кто глубокий след далекий
Оставляет на снегу?..",1,сергей есенин это лес заворожить пушинка серебро винтовка зарядить охота идти вчера дорожка чистый гладкий пройти наследить кататься украдкой падать ходить подойти взглянуть близкий хрупкий снег изломать весь коготь далекий лыжи странный бегать кабы твердо знать тайна заколдовать речь узнать случайно бродить ночь елка высокий подсмотреть круг глубокий след далекий оставлять снег
"13.Сергей Есенин - Берёза
Белая берёза
Под моим окном
Принакрылась снегом,
Точно серебром.
На пушистых ветках
Снежною каймой
Распустились кисти
Белой бахромой.
И стоит берёза
В сонной тишине,
И горят снежинки
В золотом огне.
А заря, лениво
Обходя кругом,
Обсыпает ветки
Новым серебром.",1,сергей есенин береза белый береза окно принакрыться снег точно серебро пушистый ветка снежный кайма распуститься кисть белый бахрома стоить береза сонный тишина гореть снежинка золотой огонь заря лениво обходить кругом обсыпает ветка новый серебро
14.Сергей Есенин -  Заметался пожар голубой…,1,сергей есенин заметаться пожар голубой
"Заметался пожар голубой,
Позабылись родимые дали.
В первый раз я запел про любовь,
В первый раз отрекаюсь скандалить.
Был я весь — как запущенный сад,
Был на женщин и зелие падкий.
Разонравилось пить и плясать
И терять свою жизнь без оглядки.
Мне бы только смотреть на тебя,
Видеть глаз злато-карий омут,
И чтоб, прошлое не любя,
Ты уйти не смогла к другому.
Поступь нежная, легкий стан,
Если б знала ты сердцем упорным,
Как умеет любить хулиган,
Как умеет он быть покорным.
Я б навеки забыл кабаки
И стихи бы писать забросил,
Только б тонко касаться руки
И волос твоих цветом в осень.
Я б навеки пошел за тобой
Хоть в свои, хоть в чужие дали…
В первый раз я запел про любовь,
В первый раз отрекаюсь скандалить.",1,заметаться пожар голубой позабылись родимые дать первый запеть любовь первый отрекаться скандалить весь запустить сад женщина зелие падкий разонравиться пить плясать терять свой жизнь оглядка смотреть видеть глаз злато карий омут прошлое любить уйти смочь поступь нежный легкий стан знать сердце упорный уметь любить хулиган уметь покорный навеки забыть кабак стих писать забросить тонко касаться рука волос твой цвет осень навеки пойти свой чужой дать первый запеть любовь первый отрекаться скандалить
"15. Сергей Есенин - Не жалею, не зову, не плачу…
Не жалею, не зову, не плачу,
Все пройдет, как с белых яблонь дым.
Увяданья золотом охваченный,
Я не буду больше молодым.
Ты теперь не так уж будешь биться,
Сердце, тронутое холодком,
И страна березового ситца
Не заманит шляться босиком.
Дух бродяжий! ты все реже, реже
Расшевеливаешь пламень уст
О моя утраченная свежесть,
Буйство глаз и половодье чувств.
Я теперь скупее стал в желаньях,
Жизнь моя? иль ты приснилась мне?
Словно я весенней гулкой ранью
Проскакал на розовом коне.
Все мы, все мы в этом мире тленны,
Тихо льется с кленов листьев медь…
Будь же ты вовек благословенно,
Что пришло процвесть и умереть.",1,сергей есенин жалеть звать плакать жалеть звать плакать весь пройти белый яблоня дым увядание золотой охватить большой молодой биться сердце тронутый холодок страна березовый ситец заманить шляться босиком дух бродяжий редкий редкий расшевеливать пламень уста утратить свежесть буйство глаз половодье чувство скупее стать желаньях жизнь иль присниться словно весенний гулкий рань проскакать розовый кон весь весь мир тленны тихо литься клен лист медь вовек благословенный прийти процведать умереть
"16.Анна Ахматова - Реквием
Нет, и не под чуждым небосводом,
И не под защитой чуждых крыл, —
Я была тогда с моим народом,
Там, где мой народ, к несчастью, был.",1,анна ахматов реквием чуждый небосвод защита чуждый крыло народ народ несчастие
"17.Анна Ахматова - Мужество
Мы знаем, что ныне лежит на весах
И что совершается ныне.
Час мужества пробил на наших часах,
И мужество нас не покинет.
Не страшно под пулями мертвыми лечь,
Не горько остаться без крова,
И мы сохраним тебя, русская речь,
Великое русское слово.
Свободным и чистым тебя пронесем,
И внукам дадим, и от плена спасем
Навеки.",1,анна ахматов мужество знать ныне лежать вес совершаться ныне час мужество пробить наш час мужество покинуть страшный пуля мертвый лечь горько остаться кров сохранить русский речь великий русский слово свободный чистый пронести внук дать плен спасти навеки
18.Анна Ахматова - Так будет!,1,анна ахматов
"Не надо нам земли чужой,
Свою мы создаем, —
И одарил ее водой
Могучий водоем.
Не засуху, не недород,
Не раскаленный прах —
Благоухание несет
Здесь ветер на крылах.
Не будет больше черных бурь,
Губящих как самум,
Увидит свежую лазурь
Пустыня Кара-Кум.
И дети, ясным вечерком
В тени гоня овец,
Уже не ведают, о чем
Печально пел отец…
Но что в моей стране труда
Теперь произошло,
То лучезарным навсегда
В историю вошло.",1,земля чужой свой создавать одарить вода могучий водоем засуха недород раскалить прах благоухание нести ветер крыло черный буря губить самум увидеть свежий лазурь пустыня кара кум ребенок ясный вечерок тень гоня овца ведать печально петь отец страна труд произойти лучезарный навсегда история войти
"19.Анна Ахматова - Сжала руки под темной вуалью…
Сжала руки под темной вуалью…
«Отчего ты сегодня бледна?»
— Оттого, что я терпкой печалью
Напоила его допьяна.
Как забуду? Он вышел, шатаясь,
Искривился мучительно рот…
Я сбежала, перил не касаясь,
Я бежала за ним до ворот.
Задыхаясь, я крикнула: «Шутка
Все, что было. Уйдешь, я умру».
Улыбнулся спокойно и жутко
И сказал мне: «Не стой на ветру».",1,анна ахматов сжать рука темный вуаль сжать рука темный вуаль отчего сегодня бледна оттого терпкой печаль напоить допьяна забыть выйти шатаясь искривиться мучительно рот сбежать перила касаться бежать ворота задыхаясь крикнуть шутка уйти умереть улыбнуться спокойно жутко сказать стоить ветер
